Gran Hotel Montesol Ibiza, Curio Collection by Hilton|http://curiocollection3.hilton.com/en/hotels/spain/gran-hotel-montesol-ibiza-curio-collection-by-hilton-IBZMOQQ/index.html|Passeig de Vara de Rey 2|Ibiza Town|ES|2017-07-01|https://i.travelapi.com/hotels/16000000/15660000/15650100/15650045/830fc0b8_b.jpg|38.90996|1.43462|608555
Grand Hotel Des Sablettes Plage, Curio Collection By Hilton|http://curiocollection3.hilton.com/en/hotels/france/grand-hotel-des-sablettes-plage-curio-collection-by-hilton-TLNSPQQ/index.html|575 Avenue Charles de Gaulle|La Seyne-sur-Mer|FR|2017-07-01|https://i.travelapi.com/hotels/19000000/18260000/18258200/18258167/6c0afb33_b.jpg|43.07914|5.89142|707937
Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton|https://curiocollection3.hilton.com/en/hotels/italy/grand-hotel-villa-torretta-milan-sesto-curio-collection-by-hilton-MILTOQQ/index.html|Via Milanese 3|Sesto San Giovanni|IT|2018-08-01|https://i.travelapi.com/hotels/1000000/970000/969300/969206/7ba02e90_b.jpg|45.53079|9.21744|215078
Grand Hyatt Abu Dhabi Hotel And Residences Emirates Pearl|https://abudhabi.grand.hyatt.com/en/hotel/home.html|Corniche W St|Abu Dhabi|AE|2018-06-01|NULL|24.45886|54.32017|911384
Grand Hyatt Athens|https://athens.grand.hyatt.com/en/hotel/home.html|115, Syngrou Avenue|Athens|GR|2018-08-01|https://i.travelapi.com/hotels/1000000/30000/21100/21031/edc41bc3_b.jpg|37.95737|23.71782|106298
Grand Hyatt Baha Mar|https://bahamar.grand.hyatt.com/en/hotel/home.html|One Baha Mar Boulevard|Nassau|BS|2017-08-01|NULL|25.06886|-77.4004|476982
Grand Hyatt Bogota|https://bogota.grand.hyatt.com/en/hotel/home.html|Calle 24 A, 57-60|Bogotá|CO|2018-06-01|NULL|4.64278|-74.09911|911403
Grand Hyatt Changsha|https://changsha.grand.hyatt.com/en/hotel/home.html|No. 36 Middle Xiangjiang Road|Changsha|CN|2017-07-01|https://i.travelapi.com/hotels/20000000/19480000/19470300/19470271/556bf8f9_b.jpg|28.1788|112.96865|729096
Grand Hyatt Kochi Bolgatty|https://kochibolgatty.grand.hyatt.com/en/hotel/home.html|Bolgatty Island|Kochi|IN|2018-03-01|https://i.travelapi.com/hotels/21000000/20150000/20141600/20141582/1ed44ef9_b.jpg|9.98754|76.26571|825974
Grand Hyatt Xi An|https://xian.grand.hyatt.com/en/hotel/home.html|No 12 Jinye Road|Xi\'an|CN|2018-04-01|https://i.travelapi.com/hotels/24000000/23030000/23029400/23029315/7f9a19ea_b.jpg|34.19406|108.87613|906140
Great Scotland Yard Hotel|https://www.hyatt.com/en-US/hotel/england-united-kingdom/great-scotland-yard/lhrub|3-5, Great Scotland Yard|London|GB|2019-12-01|NULL|51.50632|-0.12583|2269319
Hagia Sofia Mansions Istanbul, Curio Collection by Hilton|https://curiocollection3.hilton.com/en/hotels/turkey/hagia-sofia-mansions-istanbul-curio-collection-by-hilton-ISTHSQQ/index.html|Kabasakal Cad. No:5 Sultanahmet|Istanbul|TR|2019-09-01|https://i.travelapi.com/hotels/30000000/29750000/29743800/29743791/e38832e0_b.jpg|41.0066|28.97898|1055490
Harbor Club St. Lucia, Curio Collection by Hilton|https://curiocollection3.hilton.com/en/hotels/saint-lucia/harbor-club-st-lucia-curio-collection-by-hilton-SLUHCQQ/index.html|Rodney Bay, Gros Islet Hwy|Gros Islet|LC|2018-09-01|https://i.travelapi.com/hotels/22000000/21950000/21946900/21946869/5388787b_b.jpg|14.07352|-60.94741|806992
Hart Shoreditch Hotel London, Curio Collection by Hilton|https://curiocollection3.hilton.com/en/hotels/united-kingdom/hart-shoreditch-hotel-london-curio-collection-by-hilton-LONSDQQ/index.html|61 TO 67 GREAT EASTERN STREET|London|GB|2019-09-01|https://i.travelapi.com/hotels/40000000/39650000/39644700/39644645/60816036_b.jpg|51.52505|-0.08183|2533986
Healthouse Las Dunas|https://www.healthouse-naturhouse.com/en/inicio|Urbanización Boladilla Baja|Estepona|ES|2018-04-01|https://i.travelapi.com/hotels/1000000/60000/54500/54464/a33250bc_b.jpg|36.45373|-5.06803|476472
Hilton Belgrade|http://www3.hilton.com/en/hotels/serbia/hilton-belgrade-BEGBSHI/index.html|Kralja Milana 35|Belgrade|RS|2018-03-01|https://i.travelapi.com/hotels/23000000/22280000/22270500/22270492/c5382e57_b.jpg|44.80457|20.46582|835772
Hilton Cairo Heliopolis|http://www3.hilton.com/en/hotels/egypt/hilton-cairo-heliopolis-CAIHEHI/index.html|EL-OROUBA, QISM EL-NOZHA|Cairo|EG|2017-11-01|https://i.travelapi.com/hotels/23000000/22850000/22840400/22840340/b5930b66_b.jpg|30.10303|31.35628|847765
